time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.novatel_msg_header.message_name,.novatel_msg_header.port,.novatel_msg_header.sequence_num,.novatel_msg_header.percent_idle_time,.novatel_msg_header.gps_time_status,.novatel_msg_header.gps_week_num,.novatel_msg_header.gps_seconds,.novatel_msg_header.receiver_status.original_status_code,.novatel_msg_header.receiver_status.error_flag,.novatel_msg_header.receiver_status.temperature_flag,.novatel_msg_header.receiver_status.voltage_supply_flag,.novatel_msg_header.receiver_status.antenna_powered,.novatel_msg_header.receiver_status.antenna_is_open,.novatel_msg_header.receiver_status.antenna_is_shorted,.novatel_msg_header.receiver_status.cpu_overload_flag,.novatel_msg_header.receiver_status.com1_buffer_overrun,.novatel_msg_header.receiver_status.com2_buffer_overrun,.novatel_msg_header.receiver_status.com3_buffer_overrun,.novatel_msg_header.receiver_status.usb_buffer_overrun,.novatel_msg_header.receiver_status.rf1_agc_flag,.novatel_msg_header.receiver_status.rf2_agc_flag,.novatel_msg_header.receiver_status.almanac_flag,.novatel_msg_header.receiver_status.position_solution_flag,.novatel_msg_header.receiver_status.position_fixed_flag,.novatel_msg_header.receiver_status.clock_steering_status_enabled,.novatel_msg_header.receiver_status.clock_model_flag,.novatel_msg_header.receiver_status.oemv_external_oscillator_flag,.novatel_msg_header.receiver_status.software_resource_flag,.novatel_msg_header.receiver_status.aux1_status_event_flag,.novatel_msg_header.receiver_status.aux2_status_event_flag,.novatel_msg_header.receiver_status.aux3_status_event_flag,.novatel_msg_header.receiver_software_version,.week,.seconds,.latitude,.longitude,.height,.north_velocity,.east_velocity,.up_velocity,.roll,.pitch,.azimuth,.status
2024/09/04/14:08:33.081224,34707,1725451713,79043494,/novatel/imu,INSPVAA,USB3,0,14.5,FINESTEERING,2330,302847.87,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14102,2330,302847.87,48.7967979817,1.98697209686,201.6859,-1.0164,-0.7359,-0.0148,-0.094660535,-0.67810896,213.820459361,INS_SOLUTION_GOOD
2024/09/04/14:08:33.081612,34708,1725451713,81272407,/novatel/imu,INSPVAA,USB3,0,14.5,FINESTEERING,2330,302847.88,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14102,2330,302847.88,48.7967978901,1.98697199738,201.6858,-1.0167,-0.7336,-0.0114,-0.093829077,-0.676050317,213.81663185,INS_SOLUTION_GOOD
2024/09/04/14:08:33.090314,34709,1725451713,89010470,/novatel/imu,INSPVAA,USB3,0,14.5,FINESTEERING,2330,302847.89,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14102,2330,302847.89,48.7967977984,1.98697189737,201.6857,-1.0172,-0.7343,-0.0092,-0.096592971,-0.670341821,213.814805735,INS_SOLUTION_GOOD
2024/09/04/14:08:33.111990,34710,1725451713,111371694,/novatel/imu,INSPVAA,USB3,0,14.5,FINESTEERING,2330,302847.9,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14102,2330,302847.9,48.7967977072,1.98697179707,201.6856,-1.0171,-0.7375,-0.0093,-0.101921029,-0.672991124,213.809246631,INS_SOLUTION_GOOD
2024/09/04/14:08:33.115212,34711,1725451713,114752046,/novatel/imu,INSPVAA,USB3,0,14.5,FINESTEERING,2330,302847.91,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14102,2330,302847.91,48.796797615,1.98697169676,201.6854,-1.021,-0.7382,-0.0125,-0.103958527,-0.66627773,213.80779366,INS_SOLUTION_GOOD
2024/09/04/14:08:33.120387,34712,1725451713,120031788,/novatel/imu,INSPVAA,USB3,0,14.5,FINESTEERING,2330,302847.92,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14102,2330,302847.92,48.796797523,1.98697159665,201.6852,-1.0236,-0.7397,-0.0187,-0.104497836,-0.66792234,213.802740843,INS_SOLUTION_GOOD
2024/09/04/14:08:33.131182,34713,1725451713,130297871,/novatel/imu,INSPVAA,USB3,0,14.5,FINESTEERING,2330,302847.93,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14102,2330,302847.93,48.7967974307,1.98697149608,201.6851,-1.0251,-0.7396,-0.0172,-0.108100934,-0.663131934,213.799597559,INS_SOLUTION_GOOD
2024/09/04/14:08:33.139738,34714,1725451713,139282996,/novatel/imu,INSPVAA,USB3,0,14.5,FINESTEERING,2330,302847.94,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14102,2330,302847.94,48.7967973385,1.98697139596,201.6849,-1.0242,-0.7385,-0.0141,-0.108717289,-0.659747826,213.79789726,INS_SOLUTION_GOOD
2024/09/04/14:08:33.158442,34715,1725451713,158157526,/novatel/imu,INSPVAA,USB3,0,14.5,FINESTEERING,2330,302847.95,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14102,2330,302847.95,48.7967972454,1.9869712954,201.6848,-1.0317,-0.7391,-0.0099,-0.11235424,-0.653031362,213.795998332,INS_SOLUTION_GOOD
2024/09/04/14:08:33.161838,34716,1725451713,161576305,/novatel/imu,INSPVAA,USB3,0,14.5,FINESTEERING,2330,302847.96,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14102,2330,302847.96,48.796797153,1.98697119574,201.6847,-1.032,-0.7371,-0.0123,-0.11455842,-0.661025421,213.796563613,INS_SOLUTION_GOOD
